#,IMAGE FILENAME,AUTHOR,CAPTION
1,0_Blank_diag3.jpg,NC Duke,Diagnostic feature
2,0_Blank_flower3.jpg,NC Duke,Flower features
3,0_Blank_flowering3.jpg,NC Duke,Months of flowering and fruiting by Latitude
4,0_Blank_fruit3.jpg,NC Duke,Fruit or propagule
5,0_Blank_leaves3.jpg,NC Duke,Leaf characteristics and shape
6,0_Blank_tree3.jpg,NC Duke,Tree form
7,Ac_ebr_AusNRM1.jpg,NC Duke,Distribution in Australia
8,Ac_ebr_bark1.jpg,NC Duke,Bark characteristics
9,Ac_ebr_diag360.JPG,NC Duke,Diagnostic feature
10,Ac_ebr_distrib1.jpg,NC Duke,Distribution in the world
11,Ac_ebr_estuar1.jpg,Diana Kleine,Estuarine occurrence
12,Ac_ebr_flower 2.jpg,NC Duke,Flowers: side view
13,Ac_ebr_flower3.jpg,NC Duke,Flowers: top view
14,Ac_ebr_fruit1.jpg,NC Duke,Fruit or Propagule: seed capsule
15,Ac_ebr_leaves1.jpg,NC Duke,Leaf characteristics and shape
16,AC_ebr_leaves11.jpg,NC Duke,Leaf characteristics and shape
17,Ac_ebr_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
18,Ac_ebr_siloA.jpg,Deirdre Bean,Silohuette of growth habit
19,Ac_ebr_tree1.jpg,NC Duke,Tree form
20,Ac_ebr_zone1.jpg,Diana Kleine,Intertidal zone position
21,Ac_ebr-eba_bark1.jpg,NC Duke,Bark characteristics
22,Ac_ebr-eba_diag1.jpg,NC Duke,Diagnostic feature
23,Ac_ebr-eba_distribW2.jpg,NC Duke,Distribution in the world
24,Ac_ebr-eba_estuar1.jpg,Diana Kleine,Estuarine occurrence
25,Ac_ebr-eba_flower2.jpg,NC Duke,Flowers: side view
26,Ac_ebr-eba_flower4.jpg,NC Duke,Flowers: top view
27,Ac_ebr-eba_flower7.JPG,NC Duke,Flower features
28,Ac_ebr-eba_fruit1.jpg,NC Duke,Fruit or Propagule: seed capsule
29,Ac_ebr-eba_fruit4.JPG,NC Duke,Leaf characteristics and shape
30,Ac_ebr-eba_leaves1.jpg,NC Duke,Leaf characteristics and shape
31,Ac_ebr-eba_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
32,Ac_ebr-eba_siloB.jpg,Deirdre Bean,Silohuette of growth habit
33,Ac_ebr-eba_tree2.jpg,NC Duke,Tree form
34,Ac_ebr-eba_zone1.jpg,Diana Kleine,Intertidal zone position
35,Ac_ebr-ebr_bark1.jpg,NC Duke,Bark characteristics
36,Ac_ebr-ebr_diag1.JPG,NC Duke,Diagnostic feature
37,Ac_ebr-ebr_distribW2.jpg,NC Duke,Distribution in the world
38,Ac_ebr-ebr_estuar1.jpg,Diana Kleine,Estuarine occurrence
39,Ac_ebr-ebr_flower4.jpg,NC Duke,Flowers: side view
40,Ac_ebr-ebr_flower7.JPG,NC Duke,Flowers: top view
41,Ac_ebr-ebr_fruit1.jpg,NC Duke,Fruit or Propagule: seed capsule
42,Ac_ebr-ebr_fruit2.jpg,NC Duke,Leaf characteristics and shape
43,Ac_ebr-ebr_leaves1.jpg,NC Duke,Leaf characteristics and shape
44,Ac_ebr-ebr_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
45,Ac_ebr-ebr_siloB.jpg,Deirdre Bean,Silohuette of growth habit
46,Ac_ebr-ebr_stembase1 (1).jpg,NC Duke,Stembase characteristics
47,Ac_ebr-ebr_tree2 (1).JPG,NC Duke,Tree form
48,Ac_ebr-ebr_zone1.jpg,Diana Kleine,Intertidal zone position
49,Ac_ili_bark1.jpg,NC Duke,Bark characteristics
50,Ac_ili_diag1.jpg,NC Duke,Diagnostic feature
51,Ac_ili_diag2.jpg,NC Duke,Diagnostic feature
52,Ac_ili_diag3.JPG,NC Duke,Diagnostic feature
53,Ac_ili_distribW2.jpg,NC Duke,Distribution in the world
54,Ac_ili_estuar1.jpg,Diana Kleine,Estuarine occurrence
55,Ac_ili_flower6.JPG,NC Duke,Flowers: side view
56,Ac_ili_flower8.JPG,NC Duke,Flowers: top view
57,Ac_ili_fruit1.jpg,NC Duke,Fruit or Propagule: seed capsule
58,Ac_ili_leaves3.JPG,NC Duke,Leaf characteristics and shape
59,Ac_ili_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
60,Ac_ili_siloB.jpg,Deirdre Bean,Silohuette of growth habit
61,Ac_ili_stembase1.jpg,NC Duke,Stembase characteristics
62,Ac_ili_tree7.JPG,NC Duke,Tree form
63,Ac_ili_zone1.jpg,Diana Kleine,Intertidal zone position
64,Ac_vol_distribW2.jpg,NC Duke,Distribution in the world
65,Ac_vol_estuar1.jpg,Diana Kleine,Estuarine occurrence
66,Ac_vol_flower3w.jpg,NC Duke,Flowers: side view
67,Ac_vol_flower6w.jpg,NC Duke,Flowers: top view
68,Ac_vol_fruit1w.jpg,NC Duke,Fruit or Propagule: seed capsule
69,Ac_vol_leaves1w.jpg,NC Duke,Leaf characteristics and shape
70,Ac_vol_siloB.jpg,Deirdre Bean,Silohuette of growth habit
71,Ac_vol_stembase1w.jpg,NC Duke,Stembase characteristics
72,Ac_vol_tree1w.jpg,NC Duke,Tree form
73,Ac_vol_zone1.jpg,Diana Kleine,Intertidal zone position
74,Ae_cor_bark1.JPG,NC Duke,Bark characteristics
75,Ae_cor_distribW2.jpg,NC Duke,Distribution in the world
76,Ae_cor_flowers2.jpg,NC Duke,Flower features
77,Ae_cor_fruit1.jpg,NC Duke,Fruit or propagule
78,Ae_cor_fruit3.JPG,NC Duke,Fruit or propagule
79,Ae_cor_leaves2.jpg,NC Duke,Leaf characteristics and shape
80,Ae_cor_leaves4.JPG,NC Duke,Leaf characteristics and shape
81,Ae_cor_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
82,Ae_cor_siloB.jpg,Deirdre Bean,Silohuette of growth habit
83,Ae_cor_tree2.jpg,NC Duke,Tree form
84,Ae_flo_distribW2.jpg,NC Duke,Distribution in the world
85,Ae_flo_flower1w.jpg,NC Duke,Flower features
86,Ae_flo_flower4w.jpg,NC Duke,Flower features
87,Ae_flo_fruit5.JPG,NC Duke,Fruit or propagule
88,Ae_flo_leaves1w.jpg,NC Duke,Leaf characteristics and shape
89,Ae_flo_leaves3w.jpg,NC Duke,Leaf characteristics and shape
90,Ae_flo_leaves5.JPG,NC Duke,Leaf characteristics and shape
91,Ae_flo_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
92,Ae_flo_siloB.jpg,Deirdre Bean,Silohuette of growth habit
93,Ae_flo_tree1w.JPG,NC Duke,Tree form
94,Ae_flo_tree3.JPG,NC Duke,Tree form
95,Ag_cuc_distribW2.jpg,NC Duke,Distribution in the world
96,Ag_cuc_flower1w.jpg,NC Duke,Flower features
97,Ag_cuc_fruit1w.jpg,NC Duke,Fruit or propagule
98,Ag_cuc_leaves1w.jpg,NC Duke,Leaf characteristics and shape
99,Ag_cuc_leaves2w.jpg,NC Duke,Leaf characteristics and shape
100,Ag_cuc_leaves6B.jpg,NC Duke,Leaf characteristics and shape
101,Ag_cuc_siloB.jpg,Deirdre Bean,Silohuette of growth habit
102,Ai_ann_bark1.jpg,NC Duke,Bark characteristics
103,Ai_ann_distribW2.jpg,NC Duke,Distribution in the world
104,Ai_ann_flower1.jpg,NC Duke,Flower features
105,Ai_ann_flower2.JPG,NC Duke,Flower features
106,Ai_ann_fruit2.jpg,NC Duke,Fruit or propagule
107,Ai_ann_leaves1.jpg,NC Duke,Leaf characteristics and shape
108,Ai_ann_leaves3.JPG,NC Duke,Leaf characteristics and shape
109,Ai_ann_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
110,Ai_ann_siloB.jpg,Deirdre Bean,Silohuette of growth habit
111,Ai_ann_stembase1.jpg,NC Duke,Stembase characteristics
112,Ai_ann_tree2.jpg,NC Duke,Tree form
113,Ai_rot_distribW2.jpg,NC Duke,Distribution in the world
114,Ai_rot_flowers1w.jpg,NC Duke,Flower features
115,Ai_rot_fruit1w.jpg,NC Duke,Fruit or propagule
116,Ai_rot_leaves1w.jpg,NC Duke,Leaf characteristics and shape
117,Ai_rot_leaves2w.jpg,NC Duke,Leaf characteristics and shape
118,Ai_rot_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
119,Ai_rot_siloB.jpg,Deirdre Bean,Silohuette of growth habit
120,Ai_rot_tree1w.jpg,NC Duke,Tree form
121,Ai_rot_tree6B.jpg,NC Duke,Tree form
122,Am_lat_bark1w.jpg,NC Duke,Bark characteristics
123,Am_lat_distribW2.jpg,NC Duke,Distribution in the world
124,Am_lat_flowers1w.jpg,NC Duke,Flower features
125,Am_lat_flowers5w.JPG,NC Duke,Flower features
126,Am_lat_fruit3w.jpg,NC Duke,Fruit or propagule
127,Am_lat_leaves4w.jpg,NC Duke,Leaf characteristics and shape
128,Am_lat_siloB.jpg,Deirdre Bean,Silohuette of growth habit
129,Am_lat_stembase1w.jpg,NC Duke,Stembase characteristics
130,Am_lat_tree1w.jpg,NC Duke,Tree form
131,An_gla_bark2.JPG,NC Duke,Bark characteristics
