#,IMAGE FILENAME,AUTHOR,CAPTION,taxa_code
1,umbrumbr.jpg,,"UPPER: Shelly Beach, Manly, Sydney, NSW, Australia, 3 metres, September 1986. 14cm long. LOWER: Dar es Salaam, Tanzania, July 1974. 12cm long.PHOTOS: Bill Rudman.",umbrumbr
2,valdaf6.jpg,,"South Coast of Kwa Zulu Natal, South Africa, near Port Shepstone. Rocky reef at 16-20m, July 1999.   Size: 30mm. PHOTO: Valda Fraser",valdaf6
3,vaysfeli.jpg,,"UPPER: Vayssierea felis with tube worm, Spirorbis on brown alga (Ecklonia) with epiphyic algae. 5mm long.LOWER: Vayssierea, 6mm long, amongst living Spirorbis on which it feeds. The bright red-orange spots in the body are developing eggs. Egg masses consist of a group of 3-5 eggs, which develop directly hatching as small crawling juveniles.Both from Coffs Harbour region, northern New South Wales, December 1990. PHOTOS: Bill Rudman.",vaysfeli
4,ventvill.jpg,,"Guam, Toguon Bay, 8m; 27 May 1993 (C.27)        [the average size of the animals we have measured is a little over 4mm -- the largest 5.5mm.  we don't look for largest and mallest        so there are probably larger forms around.] PHOTO: C. Carlson & P.J.Hoff.",ventvill
5,vercverc.jpg,,"UPPER RIGHT: 25mm long on food sponge Dendrilla rosea, LOWER LEFT: yellow juvenile, 9mm long, LOWER RIGHT: 25mm long adult. All Eyre Peninsula, South Australia, February 1985. PHOTOS: Bill Rudman.",vercverc
6,volvacum.jpg,,"Locality: Off Gnejna Bay, 20 metres, Malta, Mediterranean, August 2007, in fine sand near Posidonia seaweeds. Length: 3 mm. Photographer: C. Mifsud.",volvacum
7,volvange.jpg,,"Pointe de Pandop, near Koumac, New Caledonia, 20�35'S, 164�15.5'E, Intertidal, hard substrate, algae, 24 October 1993,� shell length 5mm, AM C200628. Photo: Bill Rudman
",volvange
8,volvayak.jpg,,"Hachijo Island, Japan, 8m, 3 March, 2002, Length: 8-10mm. Photos: Nishina Masayoshi [algae identified as Caulerpa okamurae by Cynthia Trowbridge.",volvayak
9,volvpyri.jpg,,"Pease (1868): Plate 7, figure 5. Volvatella pyriformis. Drawn by A.J.Garrett.",volvpyri
10,volvsp1.jpg,,"Locality: Sodwana Bay, 20 metres, South Africa, Indian Ocean, 16 September 2007, reef. Length: 6 mm. Photographer: Colin Ogden.",volvsp1
11,volvvigo.jpg,,"Baie de Koumac, Koumac Region, New Caledonia, 20�34.5'S, 164�15.5'E, 3 m, sandy mud, Caulerpa beds. UPPER: 10 October 1993,  8 specimens (3.5, 5, 6, 13, 20, 20, 21 & 22mm long alive), AM C200412. LOWER: 26 October 1993, 2 specimens, AM C200637. PHOTOS: Bill Rudman.[INSET in upper photo: Shell of Lophocercus vigourouxi from Montrouzier in Souverbie, 1861: Pl.11, fig.1.]",volvvigo
12,volvviri.jpg,,"Hachijo Island, Japan. Depth: 2m, Size: 20mm. Photo: Shouichi Kato",volvviri
13,wuaeol.jpg,,#N/A,wuaeol
14,phyllong.jpg,,"RIGHT: Animal (10cm long) crawling over Porites colony. Indonesia.LOWER LEFT: Ceras showing the white ducts of the digestive gland radiating out to the brown ""gardens"" of symbiotic zooxanthellae. PHOTO: Bill Rudman.LOWER RIGHT: Section through the a ceras showing the ducts leading to the zooxanthellae ""gardens"" at the surface of the ceras. (zooxanthellae stained red.) PHOTO: Bill Rudman.",phyllong
15,phyllori.jpg,,"Collected intertidally, Mandora Point, Darwin, NT, November 1972, dorsal view of 40 mm specimen, Photo: N. Coleman (Brunckhorst, 1993: Plate 8C).",phyllori
16,phyllosp3.jpg,,"Umzumbe, KwaZulu-Natal, South Africa, 18m. July 2000. Size: 30mm. Photo: Valda Fraser.",phyllosp3
17,phylmacp.jpg,,"Lower photo showing brown patches beneath the skin which are 'gardens' of one-celled plants (zooxanthellae) which the nudibranch keeps alive and functioning in its body. Middle Reef, Minnie Waters, northern New South Wales, Australia. March, 1966. Photo: G. Biddle.",phylmacp
18,phylmada.jpg,,"18 m depth, Madang, PNG, 18 Feb. 1988, dorsal view of 43 mm specimen, Photo: R.C. Willan (Brunckhorst, 1993: Plate 3E).",phylmada
19,phylmagn.jpg,,"UPPER RIGHT: Kushimoto, Japan. PHOTO 36: 130mm long, July 1999. PHOTO 81: 100mm long, November 1999. PHOTOS: Yasuhiro Shirai.LOWER PHOTOS: Noumea, New Caledonia, October 1988, 110mm long alive, Holotype. LEFT: Dorsal surface (left) of ceras and ventral surface (right), showing how the patches of zooxanthellae are concentrated on the upper (sunlit) side of each ceras. LOWER RIGHT: Showing disturbed animal which has cast off (autotomised) most of its cerata, showing the ridges on which the cerata are normally attached, and the position of the anal papilla (arrow). PHOTOS: Bill Rudman.",phylmagn
20,phylmean.jpg,,"Upper Right: October 07, 2002. 'Le platier de la Pointe au Sel', St-Leu, Reunion Island, Indian Ocean. 40-45mm at 21m. Lower Left: October 06, 2002. 'Maison Verte', St-Leu, Reunion Island, Indian Ocean, 50-55mm at 14m. Lower Right: October 16, 2002, 'Grand Aquarium', Pereybere, Mauritius, Indian Ocean, 45-50mm at 10m. Photos: Marina Poddubetskaia",phylmean
21,phylmona.jpg,,"Locality: Eilat, Lighthouse Beach, 42m, Israel, Red Sea (Gulf of Eilat), 3 May 2006, coral reef. Length: 2cm. Photographer: Binyamin and Shulamit Koretz.",phylmona
22,phylmult.jpg,,"UPPER: Whale Bay, Gulf of Aquaba. Jan 1980. Photo: B.E.Picton  - illustrated in Yonow, 1988 as P. multifaria.LOWER: 9 m depth, Whiskey Reef, Red Sea, 14 Jan. 1983, dorsal view of P. multifaria, 30 mm specimen, Photo: N. Yonow (Brunckhorst, 1993: Plate 2A).",phylmult
23,phylnigr.jpg,,"Specimens examined by Bergh (1869) which he misidentified (as P. pustulosa), conserved in ZMUC (Brunckhorst, 1993; Plate 6A); Intertidal reef flat, Phi Phi Island, southern Thailand, 29 Nov. 1989, dorsal view of 40 mm specimen (Brunckhorst, 1993; Plate 6B).",phylnigr
